finishing_position,horse_name,horse_id,jockey,trainer,actual_weight,declared_horse_weight,draw,win_odds,race_course,race_class,race_distance,track_condition,race_name,track,Season,recent_6_runs,recent_ave_rank,jockey_ave_rank,track_condition_id,race_course_id,track_id,season_id
10,DASHING KING,T297,C Schofield,W Y So,131,1083,6,13,Sha Tin,Class 3,1600,GOOD TO FIRM,HKU FACULTIES OF ARCHITECTURE AND ARTS HANDICAP,"TURF - ""B+2"" COURSE",Summer,10/5/8/3/1/1,5.125,6.29047619047619,2,0,6,4
5,CHEERS VICTORIES,N335,Y T Cheng,T K Ng,118,1158,1,30,Sha Tin,Class 4,1200,FAST,MA TAU WAI HANDICAP,ALL WEATHER TRACK,Spring,5/12/11/8/2/4,7.444444444444445,7.340625,6,0,5,1
9,UNICORN,T046,K C Leung,C S Shum,124,1087,4,16,Sha Tin,Class 3,1800,GOOD,FANTASTIC LIGHT HANDICAP,"TURF - ""A"" COURSE",Winter,9/8/3/2/6/2,5.2631578947368425,6.729086722947045,1,0,1,2
11,ALL YOU WISH,P031,G Mosse,C H Yip,128,1178,4,15,Sha Tin,Class 1,1600,GOOD TO FIRM,THE SHA TIN MILE TROPHY (HANDICAP),"TURF - ""B+2"" COURSE",Summer,11/8/12/4/9/9,7.444444444444445,6.118296529968454,2,0,6,4
6,HARBOUR MASTER,S145,S Clipperton,J Moore,116,1168,10,35,Sha Tin,Group Three,1800,GOOD TO FIRM,THE SA SA LADIES' PURSE (HANDICAP),"TURF - ""C+3"" COURSE",Autumn,6/1/9/6/12/8,6.758620689655173,6.290948275862069,2,0,3,3
1,BEAUTY ONLY,S411,N Callan,A S Cruz,123,1127,1,6.6,Sha Tin,Hong Kong Group Two,1600,GOOD,THE CHAIRMAN'S TROPHY,"TURF - ""B+2"" COURSE",Spring,1/5/3/4/8/3,3.5555555555555554,6.066800267201069,1,0,6,1
7,BUDDY BUNDY,T157,Y T Cheng,T P Yung,133,1191,12,23,Sha Tin,Class 3,1000,GOOD TO YIELDING,THE ARCULLI TROPHY (HANDICAP),"TURF - ""B+2"" COURSE",Spring,7,7.0,7.340625,3,0,6,1
2,SPEEDY WALLY,T002,Z Purton,C Fownes,132,1091,10,7.2,Happy Valley,Class 5,1650,GOOD TO FIRM,STREET CAT HANDICAP,"TURF - ""A"" COURSE",Summer,2/5/5/3/11/3,6.529411764705882,4.934573444515715,2,1,1,4
4,CAREFREE LET GO,T059,H T Mo,C S Shum,116,1063,3,7.6,Happy Valley,Class 4,1200,GOOD,BUKIT TIMAH HANDICAP,"TURF - ""A"" COURSE",Spring,4/7/6/5/9/3,5.217391304347826,6.512915129151292,1,1,1,1
10,NOBLE BUDDIES,T356,M L Yeung,A Lee,111,1176,5,26,Happy Valley,Class 5,1200,GOOD TO FIRM,LAI CHI KOK HANDICAP,"TURF - ""C"" COURSE",Winter,10/7/7/4/9/9,7.571428571428571,6.9703356752537085,2,1,2,2
7,MEDIC MASTER,S363,H W Lai,A T Millard,116,1162,2,71,Sha Tin,Class 3,1600,GOOD TO FIRM,CHEVALIER LIFTS & ESCALATORS HANDICAP,"TURF - ""C"" COURSE",Autumn,7/8/8,7.666666666666667,7.4045275590551185,2,0,2,3
8,JOYFUL THE GREAT,N407,A Atzeni,A Lee,115,1080,4,15,Happy Valley,Class 3,1200,GOOD,SUNFLOWER HANDICAP,"TURF - ""C+3"" COURSE",Winter,8/4/6,6.0,7.333333333333333,1,1,3,2
2,SUPER TURBO,V310,Z Purton,D J Hall,124,1031,11,4.3,Happy Valley,Class 2,1200,GOOD TO FIRM,SWEET ORANGE HANDICAP,"TURF - ""A"" COURSE",Summer,2/1/3/2/6/6,3.769230769230769,4.934573444515715,2,1,1,4
8,TRIUMPHANT LIGHT,T224,D Whyte,D E Ferraris,118,1043,3,4,Happy Valley,Class 4,1200,GOOD,KOWLOON CITY HANDICAP,"TURF - ""C+3"" COURSE",Autumn,8/3/7/11/10/8,6.611111111111111,5.720234222511386,1,1,3,3
4,NEWSWIRE FREE,S407,N Callan,P F Yiu,125,1118,12,2.8,Sha Tin,Class 4,1200,GOOD,BEAS RIVER COUNTRY CLUB HANDICAP,"TURF - ""C"" COURSE",Summer,4/2/10/6,5.5,6.066800267201069,1,0,2,4
3,SMART UNION,P268,C Y Ho,K W Lui,117,1100,11,20,Happy Valley,Class 4,1800,GOOD TO YIELDING,GLOUCESTER HANDICAP,"TURF - ""A"" COURSE",Spring,3/4/8/4/5/1,5.375,7.03235082674335,3,1,1,1
11,ALLEY-OOP,P379,T H So,C W Chang,128,1172,4,62,Sha Tin,Class 5,1400,GOOD TO FIRM,XIAN HANDICAP,"TURF - ""C+3"" COURSE",Autumn,11,11.0,7.666300768386389,2,0,3,3
2,BABA MAMA,V214,N Rawiller,L Ho,124,1100,1,4.5,Sha Tin,Class 3,1600,GOOD,CARL F. BUCHERER EXCELLENT HANDICAP,"TURF - ""A"" COURSE",Autumn,2/1/1/1/4/6,3.4285714285714284,6.083734359961501,1,0,1,3
7,YOUNG EMPIRE,V116,W M Lai,W Y So,114,1027,8,15,Happy Valley,Class 3,1200,GOOD,THE MANAWATU RACING CLUB CHALLENGE TROPHY (HANDICAP),"TURF - ""C"" COURSE",Summer,7/11/1/1/3/4,6.785714285714286,8.396103896103897,1,1,2,4
8,GIDEON,S134,K C Leung,P O'Sullivan,121,1142,12,99,Sha Tin,Class 4,1200,GOOD TO FIRM,CHEVALIER CONSTRUCTION HANDICAP,"TURF - ""C"" COURSE",Autumn,8/9,8.5,6.729086722947045,2,0,2,3
2,WINNIE'S HONEY,V132,C Y Ho,C Fownes,131,1018,8,4.7,Happy Valley,Class 3,1800,GOOD,VERBENA HANDICAP,"TURF - ""C+3"" COURSE",Autumn,2/7/12/9/9,7.8,7.03235082674335,1,1,3,3
